대상,정격용량,년,월,일,시,인버터출력,경사일사량,수평일사량,표면온도,주위온도,y
경기도연성,1490,2018,1,1,0,0,0,0,1,3,0
경기도연성,1490,2018,1,1,1,0,0,0,-1,1,0
경기도연성,1490,2018,1,1,2,0,0,0,-3,0,0
경기도연성,1490,2018,1,1,3,0,16,0,-3,0,0
경기도연성,1490,2018,1,1,4,0,0,0,-3,0,0
경기도연성,1490,2018,1,1,5,0,0,0,-3,-1,0
경기도연성,1490,2018,1,1,6,0,0,0,-4,-1,0
경기도연성,1490,2018,1,1,7,0,0,0,-3,-1,0
경기도연성,1490,2018,1,1,8,9,21,0,-3,-1,0
경기도연성,1490,2018,1,1,9,155,127,0,9,3,0
경기도연성,1490,2018,1,1,10,297,141,57,18,7,1
경기도연성,1490,2018,1,1,11,823,186,76,22,9,1
경기도연성,1490,2018,1,1,12,972,191,67,25,10,0
경기도연성,1490,2018,1,1,13,914,179,79,24,11,1
경기도연성,1490,2018,1,1,14,586,86,55,14,8,1
경기도연성,1490,2018,1,1,15,527,81,50,12,8,1
경기도연성,1490,2018,1,1,16,241,47,19,8,7,0
경기도연성,1490,2018,1,1,17,24,16,0,3,5,0
경기도연성,1490,2018,1,1,18,0,0,0,0,3,0
경기도연성,1490,2018,1,1,19,0,0,0,-1,2,0
경기도연성,1490,2018,1,1,20,0,16,0,-1,2,0
경기도연성,1490,2018,1,1,21,0,0,0,-1,2,0
경기도연성,1490,2018,1,1,22,0,16,0,-2,1,0
경기도연성,1490,2018,1,1,23,0,0,0,-1,1,0
경기도연성,1490,2018,1,2,0,0,0,0,-2,1,0
경기도연성,1490,2018,1,2,1,0,16,0,-1,1,0
경기도연성,1490,2018,1,2,2,0,33,0,-2,1,0
경기도연성,1490,2018,1,2,3,0,35,0,-2,1,0
경기도연성,1490,2018,1,2,4,0,19,0,-2,1,0
경기도연성,1490,2018,1,2,5,0,0,0,-2,0,0
경기도연성,1490,2018,1,2,6,0,0,0,-1,0,0
경기도연성,1490,2018,1,2,7,0,0,0,-1,0,0
경기도연성,1490,2018,1,2,8,5,21,0,-1,1,0
경기도연성,1490,2018,1,2,9,127,38,0,2,2,0
경기도연성,1490,2018,1,2,10,311,139,23,8,4,1
경기도연성,1490,2018,1,2,11,576,115,50,11,6,1
경기도연성,1490,2018,1,2,12,692,100,59,12,6,1
경기도연성,1490,2018,1,2,13,496,124,52,12,7,1
경기도연성,1490,2018,1,2,14,537,88,74,12,6,0
경기도연성,1490,2018,1,2,15,399,69,21,10,6,1
경기도연성,1490,2018,1,2,16,174,79,0,7,6,0
경기도연성,1490,2018,1,2,17,18,19,0,3,4,0
경기도연성,1490,2018,1,2,18,0,16,0,1,3,0
경기도연성,1490,2018,1,2,19,0,0,0,1,3,0
경기도연성,1490,2018,1,2,20,0,0,0,2,3,0
경기도연성,1490,2018,1,2,21,0,14,0,2,2,0
경기도연성,1490,2018,1,2,22,0,0,0,1,1,0
경기도연성,1490,2018,1,2,23,0,0,0,0,1,0
경기도연성,1490,2018,1,3,0,0,0,0,-1,0,0
경기도연성,1490,2018,1,3,1,0,0,0,-1,0,0
경기도연성,1490,2018,1,3,2,0,0,0,-2,0,0
경기도연성,1490,2018,1,3,3,0,0,0,-2,-1,0
경기도연성,1490,2018,1,3,4,0,0,0,-4,-2,0
경기도연성,1490,2018,1,3,5,0,0,0,-3,-1,0
경기도연성,1490,2018,1,3,6,0,16,0,-4,-2,0
경기도연성,1490,2018,1,3,7,0,0,0,-5,-2,0
경기도연성,1490,2018,1,3,8,10,0,16,-3,-2,0
경기도연성,1490,2018,1,3,9,170,71,21,7,1,0
경기도연성,1490,2018,1,3,10,326,115,64,14,3,1
경기도연성,1490,2018,1,3,11,986,206,83,16,4,1
경기도연성,1490,2018,1,3,12,1122,232,98,20,7,0
경기도연성,1490,2018,1,3,13,1063,167,103,17,5,1
경기도연성,1490,2018,1,3,14,916,163,71,15,6,1
경기도연성,1490,2018,1,3,15,633,141,47,11,4,1
경기도연성,1490,2018,1,3,16,245,74,16,6,3,0
경기도연성,1490,2018,1,3,17,14,23,0,1,2,0
경기도연성,1490,2018,1,3,18,0,16,0,-2,1,0
경기도연성,1490,2018,1,3,19,0,0,0,-2,0,0
경기도연성,1490,2018,1,3,20,0,16,0,-3,-1,0
경기도연성,1490,2018,1,3,21,0,28,0,-1,0,0
경기도연성,1490,2018,1,3,22,0,14,0,-1,0,0
경기도연성,1490,2018,1,3,23,0,16,0,-2,-1,0
